ID,AAA,ALA,Departamento,Provincia,Distrito,Clase,Uso,Q_l_seg,Q_m3_seg,Q_m3_dia,Volumen_m3_anual,Usuario,Fuente,Zona,Este,Norte,Link
1,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurigancho,Licencia,Industrial,0.01,0,0.8,280.8,FOKKER S.R.L.,Acuïfero RIMAC,18,298547.95,8673751.82,"https://file2.ana.gob.pe/dir_rada/19/19-RI-0433-2008-03.pdf"
2,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Callao,Licencia,Industrial,2.5,0.0025,216,78840,REACTIVOS NACIONALES S.A.,Acuifero CHILLON,18,268798.35,8673967.75,"https://file2.ana.gob.pe/dir_rada/19/19-RI-0873-2008-04.pdf"
3,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurigancho,Licencia,Industrial,2.3,0.0023,198.8,72576,TOPY TOP S.A.,Acuifero LURIN,18,283460.16,8670403.83,"https://file2.ana.gob.pe/dir_rada/19/19-RI-0036-2008-02.pdf"
4,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lurigancho,Licencia,Industrial,0.67,0.0007,57.6,21024,PANIFICADORA BIMBO DEL PERU,Acuifero RIMAC,18,291158,8670773,"https://file2.ana.gob.pe/dir_rada/19/19-RD-1260-2023-04.pdf"
5,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Ate,Licencia,Industrial,21.4,0.0214,1849.3,675000,FABRICA DE TEJIDOS LA UNION LTDA.,Acuifero RIMAC,18,293395.52,8669523.25,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0874-1972-02.pdf"
6,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,San Martin De Porres,Licencia,Industrial,0.59,0.0006,50.9,18592,FORD MOTOR COMPANY DEL PERU S.A.,Acuifero CHILLON,18,274178.95,8670031.73,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0058-1972-02.pdf"
7,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Carmen De La Legua Reynoso,Licencia,Industrial,0.29,0.0003,24.7,9000,SOCIEDAD ANONIMA FAUSTO PIAGGIO,Acuifero RIMAC,18,271836.51,8667628.73,"https://file2.ana.gob.pe/dir_rada/19/19-RS-1259-1972-02.pdf"
8,Canete Fortaleza,Chillon - Rimac - Lurin,Callao,Callao,Carmen De La Legua Reynoso,Licencia,Industrial,3.81,0.0038,328.8,120000,OLEOTECNICA S.A.,Acuifero RIMAC,18,271671,8667194.51,"https://file2.ana.gob.pe/dir_rada/19/19-RS-1393-1972-02.pdf"
9,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Lima,Licencia,Industrial,4.48,0.0045,386.8,141200,FABRICA PERUANA ETERNIT S.A.,Acuifero RIMAC ,18,276069.98,8668180.96,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0381-1973-01.pdf"
10,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,Rimac,Licencia,Industrial,4.76,0.0048,411,150000,INDUSTRIAS DETERGENTES S.A.,Acuifero RIMAC,18,278342,8669840,"https://file2.ana.gob.pe/dir_rada/19/19-RS-0821-1973-02.pdf"
11,Canete Fortaleza,Chillon - Rimac - Lurin,Lima,Lima,La Victoria,Licencia,Industrial,0.12,0.0001,10.2,3710,KODAK PERUANA LTDA.,Acuifero RIMAC,18,280145.81,8664579.77,"https://file2.ana.gob.pe/dir_rada/19/19-RS-1143-1973-02.pdf"
